ref;latOSM;lngOSM;operator;latLP;lngLP;diff_radians;dif_metres;numero;rue;ville
A6K4G4;44.0149684;7.3200524;La Poste;44.0150514953846;7.32002834288029;1,48137E-06;9,448198857;1;PLACE COLONEL BALDONI;BELVEDERE
A6K4V0;48.798877;2.4735324;La Poste;48.7990821007978;2.47342352420697;3,79222E-06;24,18678618;1;BOULEVARD DU GENERAL GIRAUD;ST MAUR DES FOSSES
A6L0X5;48.792943;2.5157727;La Poste;48.7929971042091;2.51574527379109;9,95705E-07;6,350608776;3;PLACE DE STALINGRAD;ST MAUR DES FOSSES
A6L9E1;46.5794751;0.3400024;La Poste;46.5795063623079;0.339949195941468;8,3977E-07;5,356053107;12;RUE MAGENTA;POITIERS
A6M6VO;43.3543524;2.7462377;La Poste;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
A6M7D4;46.7757528;0.3616659;La Poste;46.7757041740876;0.362361218986256;8,35436E-06;53,28408886;1;PLACE DE L EGLISE;OUZILLY
A6M7F9;48.8019586;2.4718883;La Poste;48.8018194156908;2.47051975460487;1,59191E-05;101,5317502;72;RUE DU PONT DE CRETEIL;ST MAUR DES FOSSES
A6N1I3;48.8453249;2.392441;La Poste;48.8453981128162;2.39250820001741;1,4928E-06;9,521052369;27;RUE DU SERGENT BAUCHAT;PARIS 12
A6N2W8;48.8189998;2.2296555;La Poste;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
A6N6G8;43.5333231;3.3301197;La Poste;43.5334921948121;3.3312660454738;1,48021E-05;94,40777342;0;RUE DU CONSEIL GENERAL;NEFFIES
A6P5M9;48.6221084;6.1618406;La Poste;48.622147256749;6.16185943311048;7,12145E-07;4,542058018;0;PLACE FERRI DE LUDRE;LUDRES
A6Q3W7;46.5841006;0.315438;La Poste;46.5812696904093;0.316232777812299;5,03201E-05;320,9418124;3;RUE LEOPOLD SEDAR SENGHOR;POITIERS
A6Q5O7;45.9849118;4.7202929;La Poste;45.9847906202983;4.72014828639098;2,74748E-06;17,52340659;174;RUE DE LA GARE;VILLEFRANCHE SUR SAONE
A6Q8S8;43.5127474;3.2723789;La Poste;43.5130306047594;3.27236648688444;4,94534E-06;31,54141022;0;PLACE COMMANDANT TERRISSE;GABIAN
A6R1Q4;46.5860018;0.3341469;La Poste;46.5865913342526;0.335312225404566;1,73567E-05;110,7011932;79;AVENUE DE NANTES;POITIERS
A6S5I5;44.8270735;5.622906;La Poste;44.8271142804401;5.62279504378025;1,547E-06;9,866740751;0;PLACE DE LA MAIRIE;CLELLES
A6T1B4;48.8764155;2.3262726;La Poste;48.8766797489376;2.32637704891764;4,76532E-06;30,3932143;13;RUE D AMSTERDAM;PARIS 08
A6U7Z4;50.6183542;3.0715366;La Poste;50.6183767887601;3.07148314642325;7,11209E-07;4,536088169;4;PLACE FERNIG;LILLE
A6V5Y3;43.6096456;3.880477;La Poste;43.6093400265468;3.8801020596857;7,134E-06;45,50065187;7;BOULEVARD SARRAIL;MONTPELLIER
A6V9T2;45.1852615;5.7168181;La Poste;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
A6Y6N5;47.085908;-1.2857456;La Poste;47.0863850985093;-1.28610730363065;9,37095E-06;59,76789887;0;PARVIS DE LA GARE;CLISSON
A7R7D8;48.8778685;2.2840912;La Poste;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
A6M7U4;46.9226561;-0.7503387;La Poste;46.9231096196971;-0.750726079592709;9,16389E-06;58,44727148;0;PLACE DE L HOTEL DE VILLE;MAULEON
A0H6D6;47.172905;4.4640474;La Poste;47.1729728906589;4.4640701471558;1,21524E-06;7,750828037;0;HAMEAU PROMENOIS;JOUEY
A0J6Y7;47.0140096;5.9736413;La Poste;47.0140396050602;5.97363633663167;5,26836E-07;3,360157497;9;RUE ALPHONSE DELACROIX;ETERNOZ
A0K9Q8;49.4196612;0.4541128;La Poste;49.4219680677963;0.452894537225724;4,25719E-05;271,5238467;78;QUARTIER DE L EGLISE;MARAIS VERNIER
A0L5P2;48.915192;1.4917145;La Poste;48.9154818242381;1.49192771074546;5,61853E-06;35,83497303;31;RUE DU BOURG;GUAINVILLE
A0L0X3;49.4492894;0.5375088;La Poste;49.4484052871326;0.519819094893304;0,000201315;1283,985116;200;ROUTE DU PONT DES TIQUETS;ST AUBIN SUR QUILLEBEUF
A0P7N7;43.6052726;3.8837742;La Poste;43.6051895142431;3.88384699206344;1,71732E-06;10,95308267;24;RUE DE LA MEDITERRANEE;MONTPELLIER
A0Q4L3;48.0018768;-2.2371091;La Poste;48.0018849924798;-2.23708597138935;3,05383E-07;1,947732328;0;LE CHATENAY;PAIMPONT
A0T3P4;43.8563424;5.5907089;La Poste;43.8561862972671;5.59114061741037;6,07808E-06;38,76602506;0;COURS ARISTIDE BRIAND;CERESTE
A0Y6G8;45.0571198;6.3154775;La Poste;45.0572412624335;6.31558218096743;2,48184E-06;15,82915953;0;LIEU DIT LES HIERES;LA GRAVE
A0Y6G9;45.0520364;6.3069974;La Poste;45.0519420441096;6.30752918191054;6,7606E-06;43,1190828;0;LIEU DIT VENTELON;LA GRAVE
A0Z4J7;48.6866035;-1.3632191;La Poste;48.686624292674;-1.36327430721014;7,32131E-07;4,669530973;0;PLACE VALHUBERT;AVRANCHES
